0.000000	 -3.000000
0.768115	 -2.900000
1.077033	 -2.800000
1.307670	 -2.700000
1.496663	 -2.600000
1.658312	 -2.500000
1.800000	 -2.400000
1.926136	 -2.300000
2.039608	 -2.200000
2.142429	 -2.100000
2.236068	 -2.000000
2.321637	 -1.900000
2.400000	 -1.800000
2.471841	 -1.700000
2.537716	 -1.600000
2.598076	 -1.500000
2.653300	 -1.400000
2.703701	 -1.300000
2.749545	 -1.200000
2.791057	 -1.100000
2.828427	 -1.000000
2.861818	 -0.900000
2.891366	 -0.800000
2.917190	 -0.700000
2.939388	 -0.600000
2.958040	 -0.500000
2.973214	 -0.400000
2.984962	 -0.300000
2.993326	 -0.200000
2.998333	 -0.100000
3.000000	 0.000000
2.998333	 0.100000
2.993326	 0.200000
2.984962	 0.300000
2.973214	 0.400000
2.958040	 0.500000
2.939388	 0.600000
2.917190	 0.700000
2.891366	 0.800000
2.861818	 0.900000
2.828427	 1.000000
2.791057	 1.100000
2.749545	 1.200000
2.703701	 1.300000
2.653300	 1.400000
2.598076	 1.500000
2.537716	 1.600000
2.471841	 1.700000
2.400000	 1.800000
2.321637	 1.900000
2.236068	 2.000000
2.142429	 2.100000
2.039608	 2.200000
1.926136	 2.300000
1.800000	 2.400000
1.658312	 2.500000
1.496663	 2.600000
1.307670	 2.700000
1.077033	 2.800000
0.768115	 2.900000
0.000000	 3.000000
-0.768115	 2.900000
-1.077033	 2.800000
-1.307670	 2.700000
-1.496663	 2.600000
-1.658312	 2.500000
-1.800000	 2.400000
-1.926136	 2.300000
-2.039608	 2.200000
-2.142429	 2.100000
-2.236068	 2.000000
-2.321637	 1.900000
-2.400000	 1.800000
-2.471841	 1.700000
-2.537716	 1.600000
-2.598076	 1.500000
-2.653300	 1.400000
-2.703701	 1.300000
-2.749545	 1.200000
-2.791057	 1.100000
-2.828427	 1.000000
-2.861818	 0.900000
-2.891366	 0.800000
-2.917190	 0.700000
-2.939388	 0.600000
-2.958040	 0.500000
-2.973214	 0.400000
-2.984962	 0.300000
-2.993326	 0.200000
-2.998333	 0.100000
-3.000000	 -0.000000
-2.998333	 -0.100000
-2.993326	 -0.200000
-2.984962	 -0.300000
-2.973214	 -0.400000
-2.958040	 -0.500000
-2.939388	 -0.600000
-2.917190	 -0.700000
-2.891366	 -0.800000
-2.861818	 -0.900000
-2.828427	 -1.000000
-2.791057	 -1.100000
-2.749545	 -1.200000
-2.703701	 -1.300000
-2.653300	 -1.400000
-2.598076	 -1.500000
-2.537716	 -1.600000
-2.471841	 -1.700000
-2.400000	 -1.800000
-2.321637	 -1.900000
-2.236068	 -2.000000
-2.142429	 -2.100000
-2.039608	 -2.200000
-1.926136	 -2.300000
-1.800000	 -2.400000
-1.658312	 -2.500000
-1.496663	 -2.600000
-1.307670	 -2.700000
-1.077033	 -2.800000
-0.768115	 -2.900000
